30419.659999,2023-04-15T10:46:42.419Z
30419.659999,2023-04-15T10:46:42.421Z
30419.659999,2023-04-15T10:46:42.538Z
30419.659999,2023-04-15T10:46:42.643Z
30419.659999,2023-04-15T10:46:42.750Z
30419.659999,2023-04-15T10:46:42.867Z
30419.659999,2023-04-15T10:46:42.981Z
30419.659999,2023-04-15T10:46:43.094Z
30419.659999,2023-04-15T10:46:43.219Z
30419.659999,2023-04-15T10:46:43.331Z
30419.659999,2023-04-15T10:46:43.439Z
30419.659999,2023-04-15T10:46:43.545Z
30419.659999,2023-04-15T10:46:43.640Z
30419.659999,2023-04-15T10:46:43.746Z
30419.659999,2023-04-15T10:46:43.858Z
30419.659999,2023-04-15T10:46:43.964Z
30419.659999,2023-04-15T10:46:44.075Z
30419.659999,2023-04-15T10:46:44.176Z
30419.659999,2023-04-15T10:46:44.280Z
30419.659999,2023-04-15T10:46:44.389Z
30419.659999,2023-04-15T10:46:44.497Z
30419.659999,2023-04-15T10:46:44.601Z
30419.659999,2023-04-15T10:46:44.708Z
30419.659999,2023-04-15T10:46:44.810Z
30419.659999,2023-04-15T10:46:44.919Z
30419.659999,2023-04-15T10:46:45.022Z
30419.659999,2023-04-15T10:46:45.130Z
30419.659999,2023-04-15T10:46:45.249Z
30419.659999,2023-04-15T10:46:45.354Z
30419.659999,2023-04-15T10:46:45.461Z
30419.659999,2023-04-15T10:46:45.578Z
30419.659999,2023-04-15T10:46:45.677Z
30419.659999,2023-04-15T10:46:45.783Z
30419.659999,2023-04-15T10:46:45.889Z
30419.659999,2023-04-15T10:46:46.004Z
30419.659999,2023-04-15T10:46:46.106Z
30419.659999,2023-04-15T10:46:46.208Z
30419.659999,2023-04-15T10:46:46.323Z
30419.659999,2023-04-15T10:46:46.423Z
30419.659999,2023-04-15T10:46:46.526Z
30419.659999,2023-04-15T10:46:46.630Z
30419.659999,2023-04-15T10:46:46.737Z
30419.659999,2023-04-15T10:46:46.842Z
30419.659999,2023-04-15T10:46:46.944Z
30419.659999,2023-04-15T10:46:47.046Z
30419.659999,2023-04-15T10:46:47.157Z
30419.659999,2023-04-15T10:46:47.260Z
30419.659999,2023-04-15T10:46:47.361Z
30419.659999,2023-04-15T10:46:47.462Z
30419.659999,2023-04-15T10:46:47.572Z
30419.659999,2023-04-15T10:46:47.677Z
30419.659999,2023-04-15T10:46:47.782Z
30419.659999,2023-04-15T10:46:47.885Z
